license_guid,license_term,license_description,license_link,license_version
0001,CC0 1.0,Creative Commons – kein Copyright wenn möglich (Public domain) („no Copyright“),https://creativecommons.org/publicdomain/zero/1.0/,1.0
0002,CC BY 4.0,Creative Commons – Namensnennung 4.0,https://creativecommons.org/licenses/by/4.0/,4.0
0003,CC BY 3.0,Creative Commons – Namensnennung 3.0,https://creativecommons.org/licenses/by/3.0/,3.0
0004,CC BY 3.0 AT,Creative Commons – Namensnennung 3.0 (Österreich),https://creativecommons.org/licenses/by/3.0/at/,3.0
0005,CC BY 3.0 CH,Creative Commons – Namensnennung 3.0 (Schweiz),https://creativecommons.org/licenses/by/3.0/ch/,3.0
0006,CC BY 3.0 DE,Creative Commons – Namensnennung 3.0 (Deutschland),https://creativecommons.org/licenses/by/3.0/de/,3.0
0007,CC BY 2.5,Creative Commons – Namensnennung 2.5,https://creativecommons.org/licenses/by/2.5/,2.5
0008,CC BY 2.0,Creative Commons – Namensnennung 2.0,https://creativecommons.org/licenses/by/2.0/,2.0
0009,CC BY 2.0 AT,Creative Commons – Namensnennung 2.0 (Österreich),https://creativecommons.org/licenses/by/2.0/at/,2.0
0010,CC BY 2.0 CH,Creative Commons – Namensnennung 2.0 (Schweiz),https://creativecommons.org/licenses/by/2.0/ch/,2.0
0011,CC BY 2.0 DE,Creative Commons – Namensnennung 2.0 (Deutschland),https://creativecommons.org/licenses/by/2.0/de/,2.0
0012,CC BY 1.0,Creative Commons – Namensnennung 1.0,https://creativecommons.org/licenses/by/1.0/,1.0
0013,CC BY-SA 4.0,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 4.0',https://creativecommons.org/licenses/by-sa/4.0/,4.0
0014,CC BY-SA 3.0,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 3.0',https://creativecommons.org/licenses/by-sa/3.0/,3.0
0015,CC BY-SA 3.0 AT,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 3.0 (Österreich)',https://creativecommons.org/licenses/by-sa/3.0/at/,3.0
0016,CC BY-SA 3.0 BR,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 3.0 (Brasilien)',https://creativecommons.org/licenses/by-sa/3.0/br/,3.0
0017,CC BY-SA 3.0 CH,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 3.0 (Schweiz)',https://creativecommons.org/licenses/by-sa/3.0/ch/,3.0
0018,CC BY-SA 3.0 CN,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 3.0 (China)',https://creativecommons.org/licenses/by-sa/3.0/cn/,3.0
0019,CC BY-SA 3.0 DE,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 3.0 (Deutschland)',https://creativecommons.org/licenses/by-sa/3.0/de/,3.0
0020,CC BY-SA 3.0 ES,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 3.0 (Spanien)',https://creativecommons.org/licenses/by-sa/3.0/es/,3.0
0021,CC BY-SA 3.0 GR,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 3.0 (Griechenland)',https://creativecommons.org/licenses/by-sa/3.0/gr/,3.0
0022,CC BY-SA 3.0 HK,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 3.0 (Hong Kong)',https://creativecommons.org/licenses/by-sa/3.0/hk/,3.0
0023,CC BY-SA 3.0 IT,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 3.0 (Italien)',https://creativecommons.org/licenses/by-sa/3.0/it/,3.0
0024,CC BY-SA 3.0 PT,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 3.0 (Portugal)',https://creativecommons.org/licenses/by-sa/3.0/pt/,3.0
0025,CC BY-SA 3.0 TW,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 3.0 (Taiwan)',https://creativecommons.org/licenses/by-sa/3.0/tw/,3.0
0026,CC BY-SA 2.5,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 2.5',https://creativecommons.org/licenses/by-sa/2.5/,2.5
0027,CC BY-SA 2.5 AU,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 2.5 (Australien)',https://creativecommons.org/licenses/by-sa/2.5/au/,2.5
